[    2848ms] [INFO] [venue] subscribed to venue_live:demo_ven… @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852951ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852964ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852965ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852965ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852966ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852968ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852969ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852971ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852971ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852971ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852971ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852972ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852972ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852972ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852972ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852972ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852973ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852974ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852974ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852975ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852975ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852976ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852976ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852977ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852977ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852977ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852977ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852977ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852978ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852978ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852978ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852978ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852978ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852979ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852979ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852979ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852979ms] [INFO] [venue] live update booking_ins_changed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852979ms] [INFO] [venue] live update booking_cancelled @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6852979ms] [INFO] [venue] live update booking_cancelled @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6940035ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6940058ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6940058ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
[ 6940058ms] [INFO] [venue] live update booking_confirmed @ https://platform-venue.vercel.app/assets/index-Cw2RaIHt.js:83
